ID,Symbol
1000103,PLAY
1000207,test1
1000226,N/A
1000307,X
24,SUB
1000357,O
1000038,DOTA
1000524,SOPHIA
1000626,sUSDS
1000702,N/A
8,PHA
1000318,DDOT
1000173,NIPS
1000477,$JAM
1000814,N/A
1000221,DOTCOIN
1000180,N/A
1000138,NFLR
1000352,CORE
1000376,MODE
1000416,TATE
1000326,VRN
1000809,wstETH
1000713,N/A
1000333,0xf09f9980
1000274,LFG
1000095,N/A
1000834,N/A
1000698,N/A
1000179,JUNK
1000105,TAPE
1000577,N/A
1000069,T54
1000623,N/A
1000297,SANTA
1000269,N/A
1000263,N/A
1000741,N/A
1000530,BIFF
1000734,N/A
1000727,N/A
1000100,LDOT
1000052,N/A
1004,aWBTC
1000128,DAO
1000230,AUDD.s
1000055,KNRY
1000331,H@SH
1000390,ANGRY
1000767,USDT
1000627,N/A
1000748,N/A
1000765,tBTC
1000144,STEEBOR
1,H2O
1000019,DED
1000215,N/A
1000166,N/A
252525,EWT
12,ZTG
1000807,N/A
1000081,PEN
1000453,Mill
1000035,BEER
1000369,NIN
3,WBTC
1000616,N/A
1000755,N/A
1000587,N/A
1000572,N/A
1000618,N/A
1000155,DOGE
1000258,DEDX
1000599,N/A
1000601,N/A
17,INTR
1000431,MAXCAT
25,UNQ
1000025,DED
1000746,EURC.s
1000096,HASH
1000738,N/A
1000036,BEEFY
1000622,N/A
23,USDT
1000359,$PGH
1000013,HDXb
1000195,PEPE
1000282,TP
1000851,N/A
1000810,N/A
1000174,DUCK
1000294,BRL.s
1000299,WOLF
1000612,N/A
1000410,GOOD
1000467,WUDFUD
1000539,MDGA
1000608,N/A
1000615,N/A
1000339,KSM
1000320,TDC
1000329,FKDC
1000725,N/A
1000119,N/A
1000256,Coin68
1000062,GABE
1000479,DUD
9,ASTR
1000131,CATWIF
1000856,N/A
1000286,DAMN
1000471,BNG
1000324,PIGS
1000492,SAPIEN
1000382,DOTZ
1000023,ICE
1000278,ALIEN
1000239,CHUG
1000342,VOR
1000178,WBTC
1000026,EFI
1000752,SOL
1000635,N/A
1000189,WETH
1000311,COKE
1000657,N/A
1000633,N/A
35,TRAC
